*Beijing Dialect*
Wav0032｜Beijing Dialect｜佟老爷子心里"咯噔"一下。西厢房空了有小半年了，他图个清静，没想到突然就搬来人｜佟老爷子心里"咯噔"一声。西厢房空了快半年了，他本想图个安静，没想到突然有人搬来｜拟声词保留
Wav0033｜Beijing Dialect｜"嘛不提前言语一声？"佟老爷子有点不乐意｜"为什么不提前说一声？"佟老爷子有些不高兴｜"嘛"=为什么，"言语"=说
Wav0034｜Beijing Dialect｜"哎哟喂，我这不忙忘了嘛。"老陈搓着手，"人家是正经公司白领，小两口带个闺女，素质高着呢，保准不吵您。｜"哎呀，我这不是忙忘了嘛。"老陈搓着手，"对方是正规公司的白领，年轻夫妇带个女儿，素质很高，肯定不会打扰您。"｜"哎哟喂"=感叹词，"小两口"=年轻夫妻
Wav0035｜Beijing Dialect｜正说着，一个穿米色风衣的年轻女人从院里走出来，手里还拎着个名牌包，高跟鞋在石板路上踩得咔咔响｜正说着，一个穿米色风衣的年轻女性从院里走出来，手里还提着名牌包，高跟鞋在石板路上咔咔作响。｜"咔咔"=拟声词
Wav0036｜Beijing Dialect｜"陈先生，卫生间的水龙头有点漏水..."女人说到一半，看见佟老爷子，礼貌地点点头｜"陈先生，卫生间的水龙头有点漏水..."女性说到一半，看到佟老爷子后礼貌点头｜敬语"先生"保留
Wav0037｜Beijing Dialect｜"这位是？"｜"这位是？"｜"位"=敬语量词
Wav0038｜Beijing Dialect｜"这是佟老爷子，住东厢房，是咱胡同的老住户了。"老陈赶紧介绍｜"这位是佟老爷子，住在东厢房，是我们胡同的老住户了。"老陈连忙介绍｜"咱"=我们的（北方方言）
Wav0039｜Beijing Dialect｜"老爷子，这是周雅周女士，新租户。｜"老爷子，这位是周雅女士，新租户。"｜双称谓结构
Wav0040｜Beijing Dialect｜周雅伸出手："佟叔叔好。"｜周雅伸出手："佟叔叔好。"｜"叔叔"=礼貌称谓
Wav0041｜Beijing Dialect｜佟老爷子没握，只是点点头："叫佟爷就成，胡同里都这么叫。｜佟老爷子没有握手，只是点头："叫我佟爷就行，胡同里都这么称呼。｜"就成"=就可以（北京话）
Wav0042｜Beijing Dialect｜周雅的手尴尬地停在半空，收了回去｜周雅的手尴尬地悬在空中，收了回去｜"半空"=空间位置标记
Wav0043｜Beijing Dialect｜老陈赶紧打圆场："佟爷是老北京，讲究多，您别介意。｜老陈连忙调解："佟爷是老北京人，规矩多，请您别介意。"｜"打圆场"=调解矛盾
Wav0044｜Beijing Dialect｜"卫生间那水龙头我看看去。"老陈说着就往院里钻｜"我去看看卫生间那个水龙头。｜老陈说着就快步走进院子｜"看看去"=去看看（北方方言）
Wav0045｜Beijing Dialect｜周雅看了看四周，眉头微皱｜周雅环顾四周，微微皱眉｜肢体语言描写
Wav0046｜Beijing Dialect｜"陈先生，这胡同里...没有独立卫生间吗？｜"陈先生，这胡同里...没有独立卫生间吗？"｜省略号保留犹豫语气
Wav0047｜Beijing Dialect｜佟老爷子一听这话，心里就不痛快了｜佟老爷子听到这话，心里就不舒服了｜"不痛快"=不高兴（含蓄表达）
Wav0048｜Beijing Dialect｜"姑娘，咱这是老北京胡同，不是您那高楼大厦｜"姑娘，我们这是老北京胡同，不是您住的那种高楼｜"咱"=我们
Wav0049｜Beijing Dialect｜公厕在前头五十米，洗澡得上澡堂子。"｜"公共厕所在前面五十米，洗澡要去澡堂。"｜"得"=要
Wav0050｜Beijing Dialect｜周雅脸色变了："什么？我付的租金可不低，连独立卫生间都没有？｜周雅脸色变了："什么？我付的租金不便宜，竟然没有独立卫生间？"｜"可"=强调语气
Wav0051｜Beijing Dialect｜老陈赶紧跑回来："周女士，看房时候我跟您说了这是胡同平房..."｜老陈急忙跑回来："周女士，看房时我告诉过您这是胡同平房..."｜"四合院"文化概念
Wav0052｜Beijing Dialect｜"您可没说要用公共厕所！"周雅声音提高了八度，"我女儿才五岁，晚上起夜怎么办？｜"您可没说过要用公共厕所！"周雅提高嗓门，"我女儿才五岁，晚上上厕所怎么办？"｜"八度"=夸张表达
Wav0053｜Beijing Dialect｜胡同里几个邻居已经探头探脑往这边瞅了｜胡同里几个邻居已经探头往这边看了｜"探头探脑"=好奇张望
Wav0054｜Beijing Dialect｜卖煎饼的张婶假装整理摊位，实际上耳朵竖得老高｜卖煎饼的张婶假装收拾摊位，其实竖着耳朵听｜"老高"=非常（北京话程度副词）
Wav0055｜Beijing Dialect｜佟老爷子冷哼一声："我们胡同孩子都是这么长大的，没见谁掉茅坑里。"｜佟老爷子冷笑说："我们胡同的孩子都这样长大，没人掉进茅坑。"｜"茅坑"=传统旱厕
Wav0056｜Beijing Dialect｜"您这叫什么话！"周雅气得脸通红，"这是基本生活条件！"｜"您这是什么话！"周雅气得脸红，"这是基本生活条件！"｜"叫话"=表达方式
Wav0057｜Beijing Dialect｜"嫌条件差别住这儿啊！"佟老爷子也来气了，"好好的四合院，非改成什么LOFT，你们这些年轻人..."｜"嫌条件差就别住这儿！"佟老爷子也生气了，"好好的四合院，非要改成LOFT，你们年轻人..."｜"非...不可"=固执坚持
Wav0058｜Beijing Dialect｜"佟爷！佟爷！消消气儿！"老陈急得直跺脚｜"佟爷！别生气了！"老陈着急地跺脚	重复称呼表急切
Wav0059｜Beijing Dialect｜"周女士，要不这样，我在院里给您单独装个马桶，成不？"｜"周女士，要不这样，我在院里给您单独装个马桶，行吗？"｜"成不"=可以吗（商量语气）
Wav0060｜Beijing Dialect｜周雅深吸一口气：｜周雅深深吸气：｜肢体语言描写
Wav0061｜Beijing Dialect｜"我今天还要上班，这事晚上再说。"说完转身进院里头，高跟鞋踩得石板路噔噔响｜"我今天还要上班，这事晚上再谈。"说完转身走进院子，高跟鞋踩得石板路噔噔响｜"再说"=延迟处理
Wav0062｜Beijing Dialect｜佟老爷子冲着她的背影嘟囔着："穿这么高的跟儿，也不怕崴自个儿脚脖子！｜佟老爷子对着她的背影嘀咕："穿这么高的鞋跟，不怕扭伤脚踝吗？"｜"脚脖子"=脚踝（方言）
Wav0063｜Beijing Dialect｜"哎哟我的佟爷诶，您少说两句吧。"｜"哎呀佟爷啊，您少说两句吧。"｜"诶"=语气词（缓和语气）
Wav0064｜Beijing Dialect｜老陈愁眉苦脸，"这房租可不便宜，跑了租客我喝西北风去啊？｜老陈一脸愁容："这房租不便宜，租客走了我怎么办？"｜"喝西北风"=没收入（俚语）
Wav0065｜Beijing Dialect｜佟老爷子撇撇嘴，背着手往院里走｜佟老爷子撇了撇嘴，双手背在身后往院里走｜肢体语言描写
Wav0066｜Beijing Dialect｜路过西厢房时，看见个小姑娘坐在行李箱上，约莫五六岁，扎着俩小辫儿，正啃手指头｜经过西厢房时，看见一个小女孩坐在行李箱上，大约五六岁，扎着两条小辫子，正在啃手指｜"约莫"=大约（口语）
Wav0067｜Beijing Dialect｜"丫头，叫什么名儿？"佟老爷子停下脚步｜"丫头"=对小女孩的昵称
Wav0068｜Beijing Dialect｜小姑娘抬起头，大眼睛忽闪忽闪的："我叫小满，妈妈说我是小满那天生的。"｜小女孩抬起头，眼睛亮晶晶的："我叫小满，妈妈说我是小满节气出生的。"｜"忽闪忽闪"=眨眼（拟态词）
Wav0069｜Beijing Dialect｜佟老爷子脸色缓和下来："这名儿不错，二十四节气，有讲究。"｜	佟老爷子表情缓和："这名字很好，二十四节气，很有意义。""讲究"=文化内涵
Wav0069｜Beijing Dialect｜佟老爷子脸色缓和下来："这名儿不错，二十四节气，有讲究。"｜佟老爷子表情缓和："这名字很好，二十四节气，很有意义。｜"讲究"=文化内涵
Wav0070｜Beijing Dialect｜他从兜里掏出块水果糖，"喏，大白兔，你们小孩儿都爱吃。"｜他从口袋里拿出一颗水果糖，"来，大白兔糖，小孩子都喜欢吃。"｜"喏"=递东西时的语气词
Wav0071｜Beijing Dialect｜小满看看糖，又看看佟老爷子，没敢接｜小满看了看糖，又看了看佟老爷子，不敢接｜双重动作描写
Wav0072｜Beijing Dialect｜这时周雅从屋里出来，见状立刻把小满拉过去｜这时周雅从屋里出来，看到后立刻拉过小满｜
Wav0073｜Beijing Dialect｜"不要随便拿陌生人给的东西！"｜"不要随便接受陌生人给的东西！"｜教育用语
Wav0074｜Beijing Dialect｜佟老爷子气得胡子都翘起来了："我怎么就陌生人了？我在这胡同住了一甲子！街坊邻居谁不知道我佟守业？"｜佟老爷子气得胡子翘起："我怎么是陌生人？我在这胡同住了六十年！街坊谁不认识我佟守业？"｜"一甲子"=60年（传统计时）
Wav0075｜Beijing Dialect｜"妈，爷爷给糖..."小满小声说｜"妈妈，爷爷给我糖..."小满小声说｜省略宾语（我）
Wav0076｜Beijing Dialect｜"说了不能要！"周雅严厉地说，然后对佟老爷子道｜"说了不能拿｜"周雅严厉地说，然后对佟老爷子说｜
Wav0077｜Beijing Dialect｜"不好意思，我们教育孩子不能随便接受陌生人的食物。"｜"抱歉，我们教孩子不能随便拿陌生人的食物。"｜委婉拒绝
Wav0078｜Beijing Dialect｜佟老爷子把糖塞回兜里，冷笑一声："行，您教育得好。往后咱井水不犯河水。"｜佟老爷子把糖塞回口袋，冷笑道："好，您教得好。以后我们互不干涉。"｜成语直译+意译
Wav0079｜Beijing Dialect｜说完大步走向东厢房，把门摔得山响｜说完大步走向东厢房，重重地摔上门｜"山响"=夸张修辞
Wav0080｜Beijing Dialect｜院里静了几秒，老陈尴尬地咳嗽一声｜院子里安静了几秒，老陈尴尬地咳了一声｜环境氛围描写
Wav0081｜Beijing Dialect｜"周女士，佟爷人其实特别好，就是脾气倔了点..."｜"周女士，佟爷人其实很好，只是脾气有点倔..."｜委婉调解用语
Wav0082｜Beijing Dialect｜周雅没说话，拉着小满进了西厢房｜周雅沉默着，拉小满进入西厢房｜非语言行为
Wav0083｜Beijing Dialect｜老陈站在院里，左看看右看看，最后叹了口气｜老陈站在院中，左右张望，最后叹息｜肢体语言序列
Wav0084｜Beijing Dialect｜掏出手机开始打电话联系装马桶的事｜拿出手机打电话联系安装马桶的事｜现代物品引入
Wav0085｜Beijing Dialect｜东厢房里，佟老爷子坐在藤椅上生闷气｜东厢房内，佟老爷子坐在藤椅上生气｜传统家具标注
Wav0086｜Beijing Dialect｜窗外传来搬家具的声响和小满偶尔的说话声｜窗外传来搬家具的声音和小满偶尔的说话声｜
Wav0087｜Beijing Dialect｜他拿起桌上的老照片｜他拿起桌上的旧照片｜
Wav0088｜Beijing Dialect｜上面啊是二十年前的百花儿深处胡同儿｜"上面是二十年前的百花深处胡同"｜
Wav0089｜Beijing Dialect｜街坊邻居聚在院儿里吃饭｜邻居们在院里聚餐｜
Wav0090｜Beijing Dialect｜孩子们在胡同里追跑打闹｜孩子们在胡同追逐玩耍｜
Wav0091｜Beijing Dialect｜"都变喽..."佟老爷子喃喃自语｜"全变了..."佟老爷子低声自语｜方言语气词
Wav0092｜Beijing Dialect｜"这北京城儿，越来越不认识喽..."｜"这北京城，越来越陌生了..."｜
Wav0093｜Beijing Dialect｜第二天一早，佟老爷子是被一阵尖叫声惊醒的｜第二天一早，佟老爷子是被一阵尖叫声惊醒的｜
Wav0094｜Beijing Dialect｜"哎呀！老鼠！｜"哎呀！老鼠！"｜
Wav0095｜Beijing Dialect｜东厢房的窗户"砰"地被推开｜东厢房的窗户"砰"地被推开｜
Wav0096｜Beijing Dialect｜佟老爷子眯着老花眼往外瞅｜佟老爷子眯着老花眼向外看｜视觉动作描写
Wav0097｜Beijing Dialect｜周雅穿着睡衣，站在西厢房门口跳脚，手里还拿着个扫把｜周雅穿着睡衣在西厢房门口跺脚，手里拿着扫帚｜
Wav0098｜Beijing Dialect｜"大清早的，嚷嚷什么..."佟老爷子嘟囔着披上衣服｜"一大早的，吵什么..."佟老爷子边嘟囔边穿衣｜
Wav0099｜Beijing Dialect｜院里已经热闹起来了。张婶端着碗豆浆站在月亮门那儿看热闹｜院里已经热闹起来。张婶端着豆浆站在月亮门看热闹｜李三叼着烟蹲在墙根笑｜儿化音昵称
Wav0101｜Beijing Dialect｜"哟，周女士，见着耗子啦？"张婶吸溜着豆浆问｜"哟，周女士，见到老鼠了？"张婶喝着豆浆问｜"吸溜"拟声词
Wav0102｜Beijing Dialect｜"这么老的房子怎么能没耗子呢。"李三儿吐着烟圈，"您拿扫把不管用，得养只猫。"｜"这么旧的房子当然有老鼠。"李三吐着烟圈，"扫把没用，得养猫。"｜
Wav0103｜Beijing Dialect｜周雅脸色发白："这...这太不卫生了！我女儿还小..."｜周雅脸色苍白："这...太不卫生了！我女儿还小..."	｜省略号表停顿
Wav0104｜Beijing Dialect｜佟老爷子慢悠悠地踱到院里，背着手看了看墙角｜佟老爷子缓步走进院子，背手查看墙角｜
Wav0105｜Beijing Dialect｜"昨儿个剩饭没收拾吧？耗子鼻子灵着呢。"｜"昨天的剩饭没收拾吧？老鼠嗅觉很灵。"｜"灵着呢"强调句式
Wav0106｜Beijing Dialect｜"我...我忘了倒垃圾..."周雅有些尴尬，"可是这也..."｜"我忘记倒垃圾了..."周雅略显尴尬，"但这..."｜
Wav0107｜Beijing Dialect｜"您呀，得记着把剩饭菜封严实了，垃圾不能过夜｜您得记住把剩饭菜密封好，垃圾不能留过夜"｜呀=语气词；得=应该（北方方言）"
Wav0108｜Beijing Dialect｜"张婶热心地说，"要不我给您只小猫崽子？我家大花刚下了一窝。"｜"张婶热情地说，'要不我给您一只小猫？我家大花刚生了一窝。｜"猫崽子=幼猫（方言爱称）"
Wav0109｜Beijing Dialect｜周雅连连摆手："不用了谢谢，我对猫毛过敏。"｜"周雅不停摆手：'不用了谢谢，我对猫毛过敏。'"｜"连连=反复（动作重复）"
Wav0110｜Beijing Dialect｜佟老爷子哼了一声，背着手往公厕方向走｜"佟老爷子哼了一声，双手背后朝公厕走去"｜
Wav0111｜Beijing Dialect｜这新来的娘们儿｜"这个新来的女人"｜"娘们儿=女性（北方方言，含些许贬义）
Wav0112｜Beijing Dialect｜事儿真够多的｜"事情真是多"｜"够多的=非常多（强调语气）"
Wav0113｜Beijing Dialect｜公厕门口已经排起了队。早高峰时候都这样｜"公厕门前已经排起队。早高峰时都这样"｜
Wav0114｜Beijing Dialect｜老街坊们一边排队一边唠嗑｜"老邻居们边排队边聊天"｜"唠嗑=闲聊（北方方言）
Wav0115｜Beijing Dialect｜"佟爷，听说您那院儿搬来新住户啦？"卖菜的刘大妈问｜'佟爷，听说您院子搬来新住户了？'卖菜的刘大妈询问"｜"院儿=院子（儿化音）"
Wav0116｜Beijing Dialect｜"嗯。"佟老爷子不爱多谈｜'嗯。'佟老爷子不愿多说"｜"省略句"
Wav0117｜Beijing Dialect｜"听说是公司白领？男人咋没见着？"｜'听说是公司白领？怎么没见到男主人？'"｜"咋=怎么（方言）
Wav0118｜Beijing Dialect｜"出差了吧。"佟老爷子应付着，心里也纳闷。搬来两天了，就没见着那家的男主人｜'出差了吧。'佟老爷子敷衍道，心里也疑惑。搬来两天都没见到那家男主人｜"了吧=推测语气"
Wav0119｜Beijing Dialect｜排到佟老爷子时，他刚要进去｜"轮到佟老爷子时，他正要进去"｜"刚要=即将（时间副词）"
Wav0120｜Beijing Dialect｜"后面传来急促的高跟鞋声"｜"身后传来急促的高跟鞋声"｜"传来=听觉感知动词"
Wav0121｜Beijing Dialect｜"周雅拉着小满急匆匆赶来，脸色很难看"｜"周雅拽着小满匆忙赶来，表情很糟糕"｜"脸色=面部表情（转喻用法）"
Wav0122｜Beijing Dialect｜"能不能...让我们先用一下？孩子着急..."周雅咬着嘴唇问｜'能否...让我们先用一下？孩子很急...'周雅咬着嘴唇问"｜
Wav0123｜Beijing Dialect｜排后面的大爷大妈们互相看看｜"排在后面的大爷大妈们相互对视"｜
Wav0124｜Beijing Dialect｜按规矩，插队可是大忌，但是啊带孩子是例外｜"按规定插队是大忌，但带孩子可以例外"｜"可是=强调语气"
Wav0125｜Beijing Dialect｜佟老爷子侧身让了让："孩子先吧。"｜"佟老爷子侧身让开：'让孩子先吧。'｜
Wav0126｜Beijing Dialect｜周雅匆匆道谢，拉着小满进去了｜"周雅快速道谢，牵着小满进去了"｜
Wav0127｜Beijing Dialect｜不一会儿，里面传来小满的哭声："妈妈，我怕..."｜"很快，里面传出小满的哭声：'妈妈，我害怕...'｜
Wav0128｜Beijing Dialect｜"忍一下，马上好！"周雅压着声音说｜'忍耐下，很快就好了！'周雅压低声音说"
Wav0129｜Beijing Dialect｜外头排队的老街坊们憋着笑｜"外面排队的邻居们忍着笑"｜
Wav0130｜Beijing Dialect｜佟老爷子摇了摇头，点了根烟等着｜"佟老爷子摇摇头，点了支烟等候"｜
Wav0131｜Beijing Dialect｜新来的就是新来的，连公厕都受不了，往后日子长着呢｜"新住户毕竟是新住户，连公厕都适应不了，以后日子还长"｜
Wav0132｜Beijing Dialect｜周雅带着小满出来时，脸涨得通红｜"周雅领着小满出来时，脸红得厉害"｜
Wav0133｜Beijing Dialect｜她低着头快步离开，连谢谢都没来得及说｜"她低着头快速离开，连道谢都来不及"｜
Wav0134｜Beijing Dialect｜"这娘们儿，不懂规矩。"卖早点的老王点评道｜'这女人不懂规矩。'卖早餐的老王评价"
Wav0135｜Beijing Dialect｜佟老爷子没搭腔，但心里也这么觉得｜"佟老爷子没接话，但心里也这么认为"｜"搭腔=应答（方言）"
Wav0136｜Beijing Dialect｜下午，佟老爷子在院儿里晒他那老物件儿——几个蛐蛐罐、一副象棋、还有几个小面人｜"下午，佟老爷子在院子里晾晒他的老物件——几个蛐蛐罐、一副象棋、还有几个面人"｜"院儿=儿化音；物件儿=带感情色彩的爱称"
Wav0137｜Beijing Dialect｜这是他的习惯，每年开春都要把这些东西拿出来晒晒，去去霉气｜"这是他的习惯，每年初春都要把这些东西拿出来晾晒，除霉味"｜去去=消除掉
Wav0138｜Beijing Dialect｜"爷爷，这是什么呀？"｜爷爷，这是什么？｜
Wav0139｜Beijing Dialect｜佟老爷子回头，看见小满趴在月亮门边｜"佟老爷子转头，看见小满趴在月亮门旁边"
Wav0140｜Beijing Dialect｜只露出个小脑袋｜"只露出一个小脑袋"｜
Wav0141｜Beijing Dialect｜"这叫面人儿。"佟老爷子拿起一个孙悟空造型的｜'这叫面人。'佟老爷子拿起一个孙悟空造型的"｜
Wav0142｜Beijing Dialect｜小满怯生生地走近："真好看..."｜"小满怯怯地靠近：'真漂亮...'"｜
Wav0143｜Beijing Dialect｜"你妈呢？"｜'你妈妈呢？'｜
Wav0144｜Beijing Dialect｜"在屋里工作。"小满撇撇嘴，"妈妈总工作，不陪我玩。"｜'在房间工作。'小满撅着嘴，'妈妈总是工作，不陪我玩。'"｜
Wav0145｜Beijing Dialect｜佟老爷子心里一软。｜"佟老爷子心头一软。"｜"心软=心理变化瞬间体"
Wav0146｜Beijing Dialect｜他记得自个儿孙女小时候也这样｜"他记得自己孙女小时候也这样"｜"自个儿=反身代词（方言）"
Wav0147｜Beijing Dialect｜儿子儿媳忙，孩子就爱粘着他｜"儿子儿媳忙，孩子就喜欢缠着他"｜
Wav0148｜Beijing Dialect｜"会玩抓拐吗？"佟老爷子从兜里掏出几个羊拐骨｜'会玩抓拐吗？'佟老爷子从口袋里掏出几块羊拐骨"｜"抓拐=传统游戏（方言词）"
Wav0149｜Beijing Dialect｜小满摇摇头，眼睛却亮了起来｜"小满摇摇头，眼睛却亮起来"｜"亮起来=起始体变化"
Wav0150｜Beijing Dialect｜"看着啊。"佟老爷子把拐骨撒在地上，灵巧地抓起一个，抛向空中｜'看着。'佟老爷子将拐骨撒在地上，灵活地抓起一个抛向空中"｜
Wav0151｜Beijing Dialect｜在它落下前迅速抓起地上的另一个，"这叫抓拐，我们小时候都玩这个。"｜"在它落地前快速抓起另一个，'这叫抓拐，我们小时候都玩这个｜
Wav0152｜Beijing Dialect｜小满拍着手："爷爷真厉害！"｜"小满拍着手：'爷爷真棒！'｜
Wav0153｜Beijing Dialect｜"来，试试。"｜'来，试一试。｜
Wav0154｜Beijing Dialect｜小满学着佟老爷子的样子抛拐骨，却总是抓不住｜"小满模仿佟老爷子的动作抛拐骨，却总接不住"｜
Wav0155｜Beijing Dialect｜佟老爷子也不急，一遍遍教她｜"佟老爷子也不着急，一次次教她"｜
Wav0156｜Beijing Dialect｜不知不觉，太阳西斜了｜"不知不觉间，太阳西沉了"｜
Wav0157｜Beijing Dialect｜"小满！小满！"周雅焦急的声音从西厢房传来｜｜'小满！小满！'周雅着急的声音从西厢房传来"｜
Wav0158｜Beijing Dialect｜小满吓得一哆嗦，羊拐骨掉了一地｜"小满被吓得一抖，羊拐骨散落满地"｜
Wav0159｜Beijing Dialect｜"妈..."｜'妈妈...'"｜
Wav0160｜Beijing Dialect｜周雅冲进院子，看见小满和佟老爷子在一起，脸色立刻变了："你怎么跑这儿来了？｜"周雅跑进院子，看到小满和佟老爷子在一起，脸色骤变：'你怎么到这儿来了？"｜
Wav0161｜Beijing Dialect｜妈妈不是告诉过你别乱跑吗？"｜"妈妈不是说过不要乱跑吗？"｜
Wav0162｜Beijing Dialect｜"我...我看爷爷玩..."｜'我...我在看爷爷玩...'"｜
Wav0163｜Beijing Dialect｜周雅一把拉过小满｜"周雅一把拽过小满｜
Wav0164｜Beijing Dialect｜对佟老爷子僵硬地说｜"向佟老爷子生硬地说道"｜
Wav0165｜Beijing Dialect｜"谢谢您看着孩子｜'谢谢您照看孩子"｜
Wav0166｜Beijing Dialect｜但她以后不会来打扰您了。"｜"但她以后不会来打扰您了。｜
*Cantonese Dialect*
Wav0167|Cantonese Dialect|"嘩!係披薩到啦!"|"哇！披萨到了！"|区别：粤语使用“嘩”（waa3）作为惊讶的生动感叹词，而普通话使用“哇”（wā），发音相似但语气较不强烈。
Wav0168|Cantonese Dialect|"志援同志冠爭先恐後搶住去開門"|"志援和志冠争先恐后抢着去开门"|区别：粤语使用“搶住”（coeng2 zyu6）强调持续动作，而普通话使用“抢着”（qiǎngzhe），表达持续努力的动态感较弱。
Wav0169|Cantonese Dialect|今日嘅晚餐係披薩"|"今天的晚餐是披萨"|"描述今晚的晚餐内容。|区别：粤语使用“今日嘅”（gam1 jat6 ge3）带所有格助词，而普通话使用“今天”（jīntiān）不带助词，更简洁。
Wav0170|Cantonese Dialect|"每個月固定有一次"|"每个月固定有一次"|"指每月定期事件。|区别：两种语言结构相似，但粤语“固定”（gu3 ding6）听起来更口语化，普通话“固定”（gùdìng）稍显正式。
Wav0171|Cantonese Dialect|"只有爸爸公司有聚會嗰晚"|"只有爸爸公司有聚会的那晚"|区别：粤语使用“嗰晚”（go2 maan5）表示“那天晚上”，更口语化，而普通话使用“那晚”（nà wǎn），标准且中性。
